type,chapter,location,japanese,english,row
text,Kingdom of Magic: Zeal,"Kajar, 12000 B.C.",ただし、力をつかいはたすと 輝きを失ってしまって、 暗黒石に変わったとか……。[END],"However, when it used up its power, it lost its radiance and became a Darkness Stone, or something like that......",9307
text,Kingdom of Magic: Zeal,"Kajar, 12000 B.C.",[Old Man] 知っておるかね、旅の人？,"[Old Man] Did you know, travelers?",9310
text,Kingdom of Magic: Zeal,"Kajar, 12000 B.C.",暗黒石を陽のあたる場所にねかせておけば 失われた輝きをとりもどすことが できるのじゃ。,"If you lay a Darkness Stone in a place where the sun hits, it can regain its lost radiance.",9314
text,Kingdom of Magic: Zeal,"Kajar, 12000 B.C.",ただし、そのためには 気の遠くなるような長い時間が必要でな。 あの輝きを目にすることは もう二度とあるまい……。[END],"However, you need a mind-bogglingly long period of time for that to happen. I doubt I'll ever again lay eyes on that radiance......",9319
text,Kingdom of Magic: Zeal,"Kajar, 12000 B.C.",[Nu] こちょこちょ……。[END],"[Nu] Koochie, koochie......",9322
text,Kingdom of Magic: Zeal,"Kajar, 12000 B.C.",うくっ……[END],Ukuu......,9324
text,Kingdom of Magic: Zeal,"Kajar, 12000 B.C.",はうっ……！[END],Hauu......!,9326
text,Kingdom of Magic: Zeal,"Kajar, 12000 B.C.",うきゃうきゃ……！[END],"Ukya, ukya......!",9328
text,Kingdom of Magic: Zeal,"Kajar, 12000 B.C.",………。[END],.........,9330
text,Kingdom of Magic: Zeal,"Kajar, 12000 B.C.",[Nu] 水は風を呼んで…… 風は火をおどらせる……[END],[Nu] Water calls wind...... Wind makes fire dance......,9334
text,Kingdom of Magic: Zeal,"Kajar, 12000 B.C.",[System] えたいの知れないものを 見つけてしまった！！[END],[System] Found something of an unknown nature!!,9338
text,Kingdom of Magic: Zeal,"Kajar, 12000 B.C.",と思ったら中から『黒の石』が出てきた！[END],"Just then, a ""Black Rock"" came out from inside!",9340
text,Kingdom of Magic: Zeal,"Kajar, 12000 B.C.",[Book] 何千万年もの昔、人の祖先がふと手にした 不思議な赤い石のかけら……。 そこからすべては始まったのだ。 人の知を超えた力は夢をはぐくみ 愛とにくしみを生んだ……。,"[Book] Tens of millions of years ago, the ancestors of humans happened to take a fragment of a mysterious red rock in hand...... Everything started from there. A power that surpassed human knowledge gave rise to dreams and gave birth to love and hate......",9348
text,Kingdom of Magic: Zeal,"Kajar, 12000 B.C.",それがどのような終わりを見るか…… 時だけがそのこたえを知っていよう。[END],What manner of ending will that see......? Perhaps only time knows the answer.,9351
location,Kingdom of Magic: Zeal,,,,9353
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",[Young Man] ここは女王様の宮殿。 わがジール王国の中心……,[Young Man] This is the Queen's palace. The heart of our Zeal Kingdom......,9358
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",ということは、すなわち まさに宇宙の中心という事です。[END],"Which means, in other words, it's surely the heart of the universe.",9361
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",[Old Man] おおいなるエネルギーの源は 海底ふかくで眠っておる。,[Old Man] The source of our great energy sleeps deep in the ocean floor.,9365
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",そのたしかな位置が判明したため 今回の海底神殿けんせつの計画が 実行にうつされたのじゃよ。[END],"As its exact position has been confirmed, the current Ocean Floor Temple construction project has been put into practice.",9369
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",[Young Man] 海底神殿への入り口は 女王の間にあるらしいよ。 でも、まだ神殿は未完成なんだけどね。[END],"[Young Man] I've heard that the entrance to the Ocean Floor Temple is in the Queen's hall. The temple is incomplete as yet, though.",9374
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",[Old Man] あの旅の予言者は本物じゃぞ。 なんでもかんでもピタリとあてちまう。,[Old Man] That traveling prophet is the real thing. He's dead-on with anything and everything.,9378
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",まるで、これから起こる事を すでに知っているかのようじゃ……。 気味が悪いわい。[END],It's just like he already knows what's going to happen after this...... It's uncanny.,9382
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",[Young Woman] まあ、ずいぶんかわったかっこうを なさっているのですね。 よほど遠くからいらしたのですか？,"[Young Woman] Oh my, you look extremely unusual. Have you come from quite far away?",9387
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",回復のいずみで旅のつかれを いやして行かれるとよいでしょう。[END],You should use the spring of recovery to heal the fatigue of travel.,9390
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",[Young Woman] 緑はお好きですか、旅の方達？ 好き キライ[END],"[Young Woman] Do you like green things, traveling persons? Like Dislike",9395
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",そう……。 それでは女王様と同じね……。[END],I see...... Then you're the same as the Queen......,9398
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",まあ！　私も大好きなのです！,Well! I also like them very much!,9400
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",でも命の賢者様からいただいた このわかぎを、女王様は もやしてしまえと……。,But the Queen said to burn up this sapling that I received from the Philosopher of Life......,9404
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",緑を守る力を持った 不思議なわかぎだと賢者様は おっしゃっていたのに……。[END],And yet the Philosopher said that it is a mysterious sapling with the power to protect greenery......,9408
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",ああ、どうしたらいいのでしょう？ もやしてしまえ どこかにこっそりうえる[END],"Ahh, what should I do? Burn it Plant it somewhere secretly",9412
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",そうですか……。 女王様のご命令ですもの しかたありませんよね……。[END],"I see...... The Queen DID order it, so it can't be helped......",9416
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",そうですよね！ いくら女王様のご命令でも 賢者様からいただいたものを もやしてしまうなど……。,"You're right! Even if on the Queen's orders, such a thing as burning up what I received from the Philosopher......",9421
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",わかりました。 このわかぎは、どこかに大切に うえておきましょう。,Understood. I will plant this sapling with care somewhere.,9425
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",いつか緑を守る人のために 役に立ってくれるかもしれませんもの。[END],It may someday be of use for someone who protects greenery.,9428
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",もし生まれかわることが出来るなら 大地の上で緑と共にくらしたい……。[END],"If I can be reborn, I want to live on the earth along with greenery......",9431
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",[Old Man] 魔神器や海底神殿について知りたいならば 三賢者様か女王様にお聞きするのが 一番ですな。,"[Old Man] If you want to know about the Demonic Vessel or Ocean Floor Palace, the Three Philosophers or the Queen are the best ones to ask.",9436
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",じゃが、ここだけの話、今の女王様では どんなこたえが返ってくることか……。[END],"But, just between us, there's no telling how the Queen would respond as she is now......",9439
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",[Old Man] あの男は少し前にふらりと宮殿にあらわれ たしかな予言で女王の信をえたのだ。 ヤツがどこから来たのか誰も知らない。 我ら光の民ではなし、むろん地の民である わけもない……。　う～む……。[END],"[Old Man] That man wandered into the palace a little while ago and earned the Queen's trust with his reliable predictions. Nobody knows where that guy came from. He's not one of us People of the Light, and of course there's no way he's of the People of the Earth...... Hmmm......",9449
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",[Young Man] 知ってるかい、旅の人。 エンハーサやカジャールには 理の賢者ガッシュ様のヒミツの部屋が あるそうだよ。[END],"[Young Man] Did you know of this, travelers? In Enhasa and Kajal, the Philosopher of Reason Gasch-sama has secret rooms, they say.",9455
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",[Young Woman] 女王の二人のお子様 サラ様とジャキ様は、本当に 仲の良い姉弟ですわ。 これで、もう少しジャキ様が サラ様以外の人にも 心を開いてくだされば……。[END],"[Young Woman] The Queen's children, Sara-sama and Jyaki-sama, truly have a good relationship as siblings. If only Jyaki-sama would open his heart a little more to others apart from Sara-sama......",9464
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",[Young Woman] あら、あなたの持っている そのペンダント……。,"[Young Woman] Oh, that pendant you're carrying.....",9468
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",サラ様の物とよく似ていますわね。,It looks much like Sara-sama's.,9470
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",でもサラ様のペンダントのような しんぴ的な輝きはありませんのね。[END],But it doesn't have a mystic radiance like Sara-sama's pendant does.,9473
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",[Leon] グラン兄ちゃん ボク、風になりたいな……。[END],"[Leon] Gran nii-chan, I wanna become the wind......",9477
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",[Gran] ああ、なれるさ。 いつか、きっと、な……。[END],"[Gran] Yeah, you'll be able to. Some day, for sure......",9481
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",[Leon] ドリーン姉ちゃん、またエンハーサに あそび行っちゃったね。[END],[Leon] Doreen nee-chan went to play in Enharsa again.,9485
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",[Gran] ああ……。 姉ちゃんは夢が好きだからな。[END],[Gran] Yeah...... It's cause nee-chan likes dreams.,9489
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",[Leon] ボクは風の方がスキだな。 ぴゅぴゅ～ん！[END],[Leon] I like the wind better. whooshwhoooosh!,9493
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",[Gran] どーしてるかな 命の賢者のじーさん……。,"[Gran] Wonder what he's doing, old man Philosopher of Life......",9497
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",やってらんないよな。 まったく人間てのは……。[END],"Hasn't been around lately...... Sheesh, humans......",9500
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",[Nu] ちょっと、せなか…… してくれる、こちょこちょ？ こちょこちょ　しちゃう イヤッ！[END],[Nu] My back...... Scratch for a bit? Scratch No way!,9506
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",………,.........,9508
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",ケチンボ……。[END],Stingy......,9510
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",わーい、やったー。[END],"Yaay, yippie.",9512
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",うん…… そこそこ……。,"Yeah...... There, there......",9516
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",はうっ……！[END],haooh......!,9518
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",ふーっ…… ありがと……。[END],Phew...... Thanks......,9521
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",ヌウの、こちょこちょポイントを 見きった！！[END],Discovered the Nu's scratch point!,9524
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",[Young Woman] 夢より生まれ、夢に帰って行く……。 そんな生命もありますわ。,"[Young Woman] Born of dreams, returning to dreams...... Beings such as that exist as well.",9528
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",時には、人のいのりや望みが ラヴォス様の力をかりて 実体化してしまうことがあるのです。[END],"At times, human prayers and desires borrow the power of Lavos-sama and materialize.",9532
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",[Old Man] 黒鳥号や海底神殿の設計をなされた 理の賢者ガッシュ様も 行方がわからないのだ。,"[Old Man] The whereabouts of the Philosopher of Reason Gasch-sama, who designed the Blackbird and Ocean Floor Palace, are also unknown.",9537
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",王国ジールをみちびいてきた賢者様達が 三人そろって姿をかくしてしまわれるとは ……。[END],To think that the Philosophers who guided Zeal Kingdom would all three together disappear on us......,9541
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",[Young Woman] 時の賢者ハッシュ様は、どこかの小島で ひっそりと時間の研究を続けていると いわれます。,[Young Woman] It's said that the Philosopher of Time Hasch-sama is quietly continuing to research time on a small island somewhere.,9546
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",『時の卵』をつくられるとか……。 しかし、もう何年もその姿を見た者は ありません……。[END],"He's making a ""Time Egg"", or something...... However, it has been many years now since anyone has seen him......",9550
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",[Nu] ここ、まじんきの間へつづく……。[END],[Nu] This leads to the Demon Machine's hall......,9553
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",[Young Woman] あの予言者の気は、にくしみと悲しみに みちております……。,[Young Woman] That prophet's spirit is filled with hatred and sorrow......,9558
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",あのままでは、いずれ自らを ほろぼしてしまうことでしょう。 自分の愛するものさえ みちづれにして……。[END],"At the rate he's going, he'll destroy himself eventually. Taking even what he loves along with him......",9563
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",[Old Man] この先は『魔神器』の間じゃ。 う～む、すごい気のみなぎりじゃな。 さすがラヴォス・エネルギー！[END],"[Old Man] Beyond here is the hall of the “Demonic Vessel”. Hmm, it's brimming with incredible spirit. That's Lavos Energy for you!",9568
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",[Young Woman] あなた方も魔神器を 見にいらしたのですか？ はい いいえ[END],[Young Woman] Have you also come to see the Demonic Vessel? Yes No,9574
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",やっぱり！ いだいなるラヴォス様の パワーのうねり、ビンビン来ますよね。 ああ、うるうる……。[END],"I knew it! Waves of the great Lavos-sama's power are vibrating out. Aah, my eyes are clouding......",9579
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",あら……。　ダメですよ、感じなきゃー。 ラヴォス様のバイブレーション。 ファイナル・うるうるですわ！[END],"What......? No, you HAVE to feel them. Lavos-sama's vibrations The ultimate eye-clouder!",9583
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",[Young Man] これこそが、ジールの力の源。 ラヴォス様の無限エネルギーを引き出し ぞうふくする『魔神器』です。[END],"[Young Man] THIS is the source of Zeal's power. The ""Demonic Vessel"" draws out and amplifies Lavos-sama's infinite energy.",9588
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",[Young Woman] 魔神器をコントロールするには 引き出すエネルギーを制御できるだけの 強い魔力が必要となります。,"[Young Woman] To control the Demonic Vessel, you need strong enough magical power to be able to regulate the energy it draws out.",9593
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",三賢者様以外で、魔神器をあつかえるのは 今ではもうサラ様だけです。[END],"Now, the only one outside of the Three Philosophers who can handle the Demonic Vessel is Sara-sama.",9596
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",[Young Man] 三賢者様が、王家に伝わる赤き石より この魔神器を生みだされたのです。,[Young Man] The Three Philosophers brought forth this Demonic Vessel from the red stone passed down in the royal family.,9601
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",計画のリーダーの命の賢者様は ラヴォス様についていろいろと 研究されておりました。 それで……。[END],"The Philosopher of Life, who was the leader of the project, researched various things concerning Lavos-sama. And then......",9606
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",[Old Man] 三賢者の一人、命の賢者様は 女王の計画に反対なさってから 姿が見られなくなってしまった……。 まさかとは思うが……。[END],"[Old Man] Ever since one of the Philosophers, the Philosopher of Life, opposed the queen's plans, he hasn't been seen...... You don't suppose that......",9612
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",[Young Man] 魔神器が完成してから 女王は別人の様に冷たくなられてしまった。,"[Young Man] Since the Demonic Vessel was completed, the queen has become cold, like a different person.",9616
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",ここだけの話ですが、女王にさからえば 地の民だけでなく光の民も 情けようしゃなく 消されてしまうといううわさが……。[END],"Just between you and me, rumor has it that not just the People of the Earth, but also the People of the Light are mercilessly eliminated if they oppose the Queen......",9621
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",[Old Man] 魔神器を海底神殿にうつせば ラヴォス様から、より強大なエネルギーを えることができる。,"[Old Man] If we move the Demonic Vessel to the Ocean Floor Palace, we can get more powerful energy from Lavos-sama.",9626
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",われら光の民の最後の望み 不老不死も夢ではない！,"The final desire of we People of the Light, never aging nor dying, is no dream!",9629
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",おお、いだいなる女王よ！ わがジール王国は永遠なのだ！！[END],"Oh, great Queen! Our Zeal Kingdom is eternal!!",9632
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",[Young Man] 海底神殿が完成すれば わがジール王国は、永遠の光に つつまれる……。,"[Young Man] When we complete the Ocean Floor Temple, our Zeal Kingdom will be enveloped in eternal light......",9637
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",もうそこには、おそれも悲しみもない。 ただ終わることのない安らぎだけが 待っているのだ。[END],"There, no longer will there be either fear or sorrow. Just endless tranquility awaits us.",9641
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",[Young Man] 以前は女王の右腕、ダルトン様が 海底神殿の計画をしきっていたのだが 今では旅の予言者が計画を進めている。,"[Young Man] Previously, the Queen's right-hand man Dalton-sama entirely managed the Ocean Floor Temple project, but now, the traveling prophet is advancing the plans.",9646
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",しばらくは、ダルトン様の近くには よらないようにしないとな。 ありゃ、かなりあれてるぞ。[END],You'll have to make sure not to get near Dalton-sama for a while. He's really ticked off.,9650
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",[Young Woman] 女王様は、きっと人に言えぬ苦しみ悲しみに お一人でたえてこられたのでは ないでしょうか？,"[Young Woman] Surely the Queen has borne suffering and sorrow by herself that she can tell no one of, don't you think?",9655
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",大きなものをえる時は、失うものも また大きいもの……。 そのおかげで今日のジールが あるわけですけれど……。[END],"When you gain something great, the loss too is great...... The Zeal of today exists thanks to that......",9660
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",[Nu] ここ、おやすみの間へつづく……。[END],[Nu] This leads to the bedrooms……,9663
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",[Young Man] サラ様のペンダントは 魔神器と同じ赤き石から 作られたのだそうです。,[Young Man] They say Sara-sama's pendant was made from the same red stone as the Demonic Vessel.,9668
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",サラ様がペンダントを手にして 魔神器にいのると、不思議な輝きを はなつそうですよ。[END],"I've heard that when Sara-sama takes the pendant in hand and prays to the Demonic Vessel, it gives off a mysterious radiance.",9672
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",[Jyaki] 「姉上！[END],[Jyaki] 'Ane-ue!,9675
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",[Sara] 「あら、お帰りなさい。 どうかしたの、ジャキ？[END],"[Sara] 'Oh, welcome back. Is something wrong, Jyaki?",9679
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",ジャキ「黒い風が……。[END],Jyaki: The black wind......,9681
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",サラ「感じるのね、ふきつな気を……？ だいじょうぶよ、心配いらないわ。[END],"Sara: You feel it, the ominous spirit......? It's going to be fine, you don't need to worry.",9684
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",サラ「さ、これを持っていなさい。[END],"Sara: Here, take this.",9686
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",ジャキ「これ……？[END],Jyaki: This......?,9688
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",サラ「お守りよ。 もしもの時ジャキを守ってくれるよう 私のいのりがこめられているわ。,"Sara: It's a charm. My prayers are held in it to protect you, just in case.",9692
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",いつでも私がそばにいて あげられたらいいのだけれど……。 でも母様の計画が……。[END],I wish that I could always stay by your side...... But mother's plans......,9696
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",ジャキ「あんなヤツ、母様じゃない！ 姿形は母様だけど 中身は別のモノだ……。[END],"Jyaki: That bitch isn't our mother! The appearance is mother's, but she's something different on the inside......",9700
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",サラ「………。,Sara: .......,9702
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",それでも私には……。 ゴメンなさい、ジャキ……。[END],"And yet, for me...... I'm sorry, Jyaki......",9705
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",[Young Woman] しつれいいたします、サラ様。[END],"[Young Woman] Please excuse me, Sara-sama.",9708
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",女王様がお呼びです。 しきゅう海底神殿の方におりて いただきたいとのことです。[END],The Queen calls. She would like to have you descend to the Ocean Floor Temple immediately.,9712
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",サラ「……わかりました。[END],Sara: ......understood.,9714
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",サラ「それじゃ、ジャキ…… 行ってくるわね……。[END],"Sara: Well then, Jyaki...... I'll be back later......",9717
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",サラ「あら……。 あなた達は……？[END],Sara: Oh...... You are......?,9720
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",[Young Woman] サラ様、おいそぎください。 おくれると私が女王様に……。[END],"[Young Woman] Sara-sama, please hurry. If we are late, then the Queen will......",9724
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",サラ「ええ。　ごめんなさいね。[END],Sara: Yes. I'm sorry.,9726
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",ジャキ「………。 むこう、行きなよ。[END],Jyaki: ......... Go away.,9729
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",ジャキ「ムダさ。 アルファドは、僕にしかなつかない。[END],Jyaki: It's useless. Alphard won't get attached to anyone but me.,9732
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",[Old Man] よいかな、大地は生きておる。 長い時間をかけてゆっくり動き…… 平地は山に……、山は海に……。,"[Old Man] Listen well, the earth is alive. Over long periods of time, it gradually moves...... Plains to mountains...... mountains to oceans......",9737
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",今は誰も近づけぬ、北の封印宮や 太陽神殿ですら、何千何万もの年をへれば 道がみつかるようになるのかも知れぬな。[END],"After many thousands, tens of thousands of years pass, ways may be found to places where none can now approach, such as the sealed northern shrine and the Sun Temple.",9742
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",[Nu] ここ、じょおうの間へつづく……。[END],[Nu] This leads to the Queen's hall……,9746
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",[Young Woman] この封印の扉は外からは開きません。 サラ様のペンダントのような 術をやぶる強力なカギでもないかぎり。[END],"[Young Woman] This sealed door will not open from outside. Not as long as you don't have a powerful key to break arts, such as Sara-sama's pendant.",9751
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",[Young Woman] 女王が海底神殿におりられるとかで……。 その間ここは誰ひとり通ることは 出来ませんよ。[END],"[Young Woman] The Queen has descended to the Ocean Floor Temple...... During that period, none can enter here.",9756
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",あら、そのペンダントは……？ サラ様のものと、そっくりですね。,"Oh, that pendant......? It looks just like Sara-sama's.",9759
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",サラ様が魔神器にいのると、 ペンダントが不思議な輝きを はなつと聞きましたが……。[END],"I have heard that whenever Sara-sama prays to the Demonic Vessel, her pendant emits a mysterious radiance......",9763
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",マール「あれー？ やっぱり開かないねー。[END],Marle: Huh? It really won't open.,9766
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",エイラ「不思議。なんでだ？[END],Ayla: Mysterious. Why?,9768
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",ロボ「強力な防御システムの 扉デスネ。[END],Robo: It IS a door with a powerful defense system.,9772
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",ルッカ「う～ん……。 やっぱり、そのペンダントに なにかあるんじゃないのかしら……。[END],Lucca: Hmmm...... I wonder if there isn't something about that pendant after all......,9776
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",カエル「チキショー、たかが こんな扉ひとつに、手も足も ベロも出ないとは……。[END],"Frog: Dammit, to think we can't do a thing against a mere single door like this......",9780
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",[Old Man] おや、そのペンダントは……？ サラ様のものと似ていますね。,"[Old Man] Oh, that pendant......? It looks just like Sara-sama's.",9784
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",サラ様が魔神器にいのると、 あのペンダントは不思議な輝きを はなつのですよ。,"When she prays to the Demonic Vessel, that pendant gives off a mysterious radiance.",9788
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",まるで魔神器と、ひみつのことばを かわしているかのようです。[END],It's just as though it's exchanging secret words with the Demonic Vessel.,9791
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.","[Old Man, Young Man] おお、その輝きは……！？","[Old Man, Young Man] Oh, that radiance......!?",9794
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",まさしく賢者様達が サラ様のためにと作られたもの！！ どうしてあなた方が……！？[END],That is without a doubt what the Philosophers made for Sara-sama!! How did you......!?,9798
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",マール「わーい、開いた、開いた！[END],"Marle: Yaaay, it opened, it opened!",9800
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",ルッカ「フッフッフッ……。 このていどのシールドなんかじゃ サイエンスの前進はとめられないわよ！[END] ロボ「まさに『賢者の石』デスネ。 マールのペンダントは。[END],"Lucca: Hu, hu, hu...... You can't halt the advance of science with the likes of this caliber of shield!  Robo: It IS surely the ""Philosopher's Stone"". Marle's pendant.",9807
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",カエル「さーて、おにが出るか じゃが出るか？[END],"Frog: Now then, will an ogre appear, or will a snake appear?",9811
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",エイラ「エイラ　行く！ ガンガン　行くぞ　クロ！！[END],"Ayla: Ayla go! Go full power, Crono!!",9814
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",[Young Woman] まあ、その輝きは……！ サラ様のペンダントですか？[END],"[Young Woman] Oh my, that radiance......! Is that Sara-sama's pendant?",9818
text,Kingdom of Magic: Zeal,"Zeal Palace, 12,000 B.C.",予言者「！？[END],Prophet: !?,9820
